corpus,source_pdf,source_txt,source_exists,date,year,month,day,case_numbers,doc_tags,pages,text_chars,ocr_chars,word_count,status
case,CASE DOCS\02.14.24 - RESPONDENT'S ANSWER TO PETITIONERS DIVORCE PETITION-1.pdf,extracted_text\02.14.24 - RESPONDENT'S ANSWER TO PETITIONERS DIVORCE PETITION-1.txt,yes,2024-02-14,2024,02,14,,petition,8,12583,12134,3762,ok
case,CASE DOCS\02.20.25 - MOTION TO SIGN-1-1.pdf,extracted_text\02.20.25 - MOTION TO SIGN-1-1.txt,yes,2025-02-20,2025,02,20,,motion,20,26153,26309,8314,ok
case,CASE DOCS\02.20.25 - MOTION TO SIGN-1.pdf,extracted_text\02.20.25 - MOTION TO SIGN-1.txt,yes,2025-02-20,2025,02,20,,motion,19,25286,25471,8021,ok
case,CASE DOCS\02.22.2024_PROP ORDER ON MOTION FOR PRETRIAL SUMMARYJUDGMENT-1.pdf,extracted_text\02.22.2024_PROP ORDER ON MOTION FOR PRETRIAL SUMMARYJUDGMENT-1.txt,yes,2024-02-22,2024,02,22,,motion;order,2,1864,662,268,ok
case,CASE DOCS\02.22.24 - Partial Summary Judgment-1.pdf,extracted_text\02.22.24 - Partial Summary Judgment-1.txt,yes,2024-02-22,2024,02,22,,summary_judgment,10,20058,19003,5928,ok
case,CASE DOCS\02.22.24 - PROPOSED ORDER ON MOTION FOR SUMMARY JUDGMENT-1.pdf,extracted_text\02.22.24 - PROPOSED ORDER ON MOTION FOR SUMMARY JUDGMENT-1.txt,yes,2024-02-22,2024,02,22,,motion;order;summary_judgment,2,2739,1479,520,ok
case,CASE DOCS\02.22.24 - SUMM JUDGEMENT NOTICE OF HEARING-1.pdf,extracted_text\02.22.24 - SUMM JUDGEMENT NOTICE OF HEARING-1.txt,yes,2024-02-22,2024,02,22,,notice;hearing,4,7306,3115,1168,ok
case,CASE DOCS\02.22.24 - SUMMARY JUDGMENT BRIEF-1.pdf,extracted_text\02.22.24 - SUMMARY JUDGMENT BRIEF-1.txt,yes,2024-02-22,2024,02,22,,brief;summary_judgment,10,21425,20167,6282,ok
case,CASE DOCS\02.22.24 Order on Motion for Summary Judgment-1.pdf,extracted_text\02.22.24 Order on Motion for Summary Judgment-1.txt,yes,2024-02-22,2024,02,22,,motion;order;summary_judgment,2,3021,1701,583,ok
case,CASE DOCS\02.24.24 - MOTION FOR SUMMARY JUDGMENT - BRIEF-1.pdf,extracted_text\02.24.24 - MOTION FOR SUMMARY JUDGMENT - BRIEF-1.txt,yes,2024-02-24,2024,02,24,,motion;brief;summary_judgment,10,20058,19003,5928,ok
case,CASE DOCS\02.24.25 - OBJECTION AND REQUEST FOR JUDICIAL NOTICE-1.pdf,extracted_text\02.24.25 - OBJECTION AND REQUEST FOR JUDICIAL NOTICE-1.txt,yes,2025-02-24,2025,02,24,,notice;objection,19,20954,20210,6473,ok
case,CASE DOCS\02.25.2025_MOTION TO SIGN-1.pdf,extracted_text\02.25.2025_MOTION TO SIGN-1.txt,yes,2025-02-25,2025,02,25,,motion,21,26606,26183,8527,ok
case,CASE DOCS\02.25.2025_OBJECTION AND REQUEST FOR JUDICIAL NOTICE-1.pdf,extracted_text\02.25.2025_OBJECTION AND REQUEST FOR JUDICIAL NOTICE-1.txt,yes,2025-02-25,2025,02,25,,notice;objection,19,20666,19907,6556,ok
case,CASE DOCS\02.25.24 Notice of Termination of Legal Counsel-1.pdf,extracted_text\02.25.24 Notice of Termination of Legal Counsel-1.txt,yes,2024-02-25,2024,02,25,,notice,2,2323,2244,734,ok
case,CASE DOCS\02.25.25 - Notice Loss of Employmnet-1.pdf,extracted_text\02.25.25 - Notice Loss of Employmnet-1.txt,yes,2025-02-25,2025,02,25,,notice,6,2708,2727,954,ok
case,CASE DOCS\02.25.25 - Proposed Order on Motion to Sign-1.pdf,extracted_text\02.25.25 - Proposed Order on Motion to Sign-1.txt,yes,2025-02-25,2025,02,25,,motion;order,2,1783,732,306,ok
case,CASE DOCS\02.26.25 - UNOPPOSED MOTIONS-1.pdf,extracted_text\02.26.25 - UNOPPOSED MOTIONS-1.txt,yes,2025-02-26,2025,02,26,,motion,3,7104,7166,2523,ok
case,CASE DOCS\02.27.2024_NOTICE OF HEARING 31424  9AM-1.pdf,extracted_text\02.27.2024_NOTICE OF HEARING 31424  9AM-1.txt,yes,2024-02-27,2024,02,27,,notice;hearing,6,4127,3218,1296,ok
case,CASE DOCS\02.28.2025_REQUEST FOR RULING-1.pdf,extracted_text\02.28.2025_REQUEST FOR RULING-1.txt,yes,2025-02-28,2025,02,28,,,8,9726,9406,3240,ok
case,CASE DOCS\02.28.25 - REQUEST FOR RULING-1.pdf,extracted_text\02.28.25 - REQUEST FOR RULING-1.txt,yes,2025-02-28,2025,02,28,,,8,10298,10088,3379,ok
case,CASE DOCS\03.03.24 Notice and Unsworn Declaration-1.pdf,extracted_text\03.03.24 Notice and Unsworn Declaration-1.txt,yes,2024-03-03,2024,03,03,,notice;declaration,4,5974,5685,1829,ok
case,CASE DOCS\03.04.2024_NOTICE  UNSWORN DECLARATION-1.pdf,extracted_text\03.04.2024_NOTICE  UNSWORN DECLARATION-1.txt,yes,2024-03-04,2024,03,04,,notice;declaration,5,6211,5657,1912,ok
case,CASE DOCS\03.04.2024_REQUIRED INITIAL DISCLOSURES-1.pdf,extracted_text\03.04.2024_REQUIRED INITIAL DISCLOSURES-1.txt,yes,2024-03-04,2024,03,04,,,7,7341,6878,2273,ok
case,CASE DOCS\03.05.2025 NOTICE - WATAUGA POLICE DEPT.-1.pdf,extracted_text\03.05.2025 NOTICE - WATAUGA POLICE DEPT.-1.txt,yes,2025-03-05,2025,03,05,,notice,8,10471,10256,3286,ok
case,CASE DOCS\03.06.2025_PROPOSED ORDER ON UNOPPOSED MOTION TO DISMISS FOR LACK OF JURISDICTION-1.pdf,extracted_text\03.06.2025_PROPOSED ORDER ON UNOPPOSED MOTION TO DISMISS FOR LACK OF JURISDICTION-1.txt,yes,2025-03-06,2025,03,06,,motion;order,2,1554,611,258,ok
case,CASE DOCS\03.06.2025_UNOPPOSED MOTION TO DISMISS FOR LACK OF JURISDICTION-1.pdf,extracted_text\03.06.2025_UNOPPOSED MOTION TO DISMISS FOR LACK OF JURISDICTION-1.txt,yes,2025-03-06,2025,03,06,,motion,5,4482,4300,1444,ok
case,CASE DOCS\03.06.24 - LOCKOUT NOTICE-1.pdf,extracted_text\03.06.24 - LOCKOUT NOTICE-1.txt,yes,2024-03-06,2024,03,06,,notice,1,0,32,7,ok
case,CASE DOCS\03.06.25 - UNOPPOSED MOTION FOR LACK OF JURIS-1.pdf,extracted_text\03.06.25 - UNOPPOSED MOTION FOR LACK OF JURIS-1.txt,yes,2025-03-06,2025,03,06,,motion,4,4277,4152,1338,ok
case,CASE DOCS\03.08.2025_EXHIBIT - SETTLEMENT OFFER - DAN BRANTHOOVER-1.pdf,extracted_text\03.08.2025_EXHIBIT - SETTLEMENT OFFER - DAN BRANTHOOVER-1.txt,yes,2025-03-08,2025,03,08,,exhibit,4,9977,9898,3506,ok
case,CASE DOCS\03.09.2025_EXHIBIT - SETTLEMENT OFFER - MARGIE WILSON-1.pdf,extracted_text\03.09.2025_EXHIBIT - SETTLEMENT OFFER - MARGIE WILSON-1.txt,yes,2025-03-09,2025,03,09,,exhibit,4,9972,9902,3509,ok
case,CASE DOCS\03.09.24 - JOHN VARELA AFFIDAVIT-1.pdf,extracted_text\03.09.24 - JOHN VARELA AFFIDAVIT-1.txt,yes,2024-03-09,2024,03,09,,affidavit,2,336,1692,327,ok
case,CASE DOCS\03.10.24 - BRIANA GALBO-1.pdf,extracted_text\03.10.24 - BRIANA GALBO-1.txt,yes,2024-03-10,2024,03,10,,,3,496,3546,641,ok
case,CASE DOCS\03.10.24 - CHRISTIAN VROOM AFFIDAVIT-1.pdf,extracted_text\03.10.24 - CHRISTIAN VROOM AFFIDAVIT-1.txt,yes,2024-03-10,2024,03,10,,affidavit,2,334,2910,564,ok
case,CASE DOCS\03.11.2025_NOTICE OF CONTINUED OBSTRUCTION-1.pdf,extracted_text\03.11.2025_NOTICE OF CONTINUED OBSTRUCTION-1.txt,yes,2025-03-11,2025,03,11,,notice,14,14267,13866,4763,ok
case,CASE DOCS\03.11.24 - AARON WATSON-1.pdf,extracted_text\03.11.24 - AARON WATSON-1.txt,yes,2024-03-11,2024,03,11,,,2,313,3569,598,ok
case,CASE DOCS\03.11.24 - DANNY SLADE-1.pdf,extracted_text\03.11.24 - DANNY SLADE-1.txt,yes,2024-03-11,2024,03,11,,,2,334,2396,431,ok
case,CASE DOCS\03.11.25 - NOTICE OF CONTINUED OBSTRUCTION-1.pdf,extracted_text\03.11.25 - NOTICE OF CONTINUED OBSTRUCTION-1.txt,yes,2025-03-11,2025,03,11,,notice,12,12676,12568,4169,ok
case,CASE DOCS\03.12.25 - NOTICE OF CONTINUED OBSTRUCTION-1.pdf,extracted_text\03.12.25 - NOTICE OF CONTINUED OBSTRUCTION-1.txt,yes,2025-03-12,2025,03,12,,notice,13,13619,13496,4489,ok
case,CASE DOCS\03.12.25 - REQUEST TO SET UN-OPPOSED SUMMARY JUDGMENT AND UN-OPPOSED RULE 12 MOTIONS FOR SUBMISSION-1.pdf,extracted_text\03.12.25 - REQUEST TO SET UN-OPPOSED SUMMARY JUDGMENT AND UN-OPPOSED RULE 12 MOTIONS FOR SUBMISSION-1.txt,yes,2025-03-12,2025,03,12,,motion;summary_judgment,30,44017,37714,12255,ok
case,CASE DOCS\03.13.20 OAG PAY SCHEDULE-1.pdf,extracted_text\03.13.20 OAG PAY SCHEDULE-1.txt,yes,2020-03-13,2020,03,13,,,13,55850,15124,7381,ok
case,CASE DOCS\03.13.24 - LUZ OBLE-1.pdf,extracted_text\03.13.24 - LUZ OBLE-1.txt,yes,2024-03-13,2024,03,13,,,2,336,2741,474,ok
case,CASE DOCS\03.13.24 - NICHOLAS MORVAN-1.pdf,extracted_text\03.13.24 - NICHOLAS MORVAN-1.txt,yes,2024-03-13,2024,03,13,,,3,109,2762,490,ok
case,CASE DOCS\03.13.24 - QUICKSILVER STATEMENT-1.pdf,extracted_text\03.13.24 - QUICKSILVER STATEMENT-1.txt,yes,2024-03-13,2024,03,13,,,4,14445,14216,5001,ok
case,CASE DOCS\03.14.2024_ASSOCIATE JUDGE REPORT-1.pdf,extracted_text\03.14.2024_ASSOCIATE JUDGE REPORT-1.txt,yes,2024-03-14,2024,03,14,,report,3,1945,2008,724,ok
case,CASE DOCS\03.14.2025_NOTICE OF SUBMISSION-1.pdf,extracted_text\03.14.2025_NOTICE OF SUBMISSION-1.txt,yes,2025-03-14,2025,03,14,,notice,13,16974,14702,5423,ok
case,CASE DOCS\03.14.24 - AJ Rep-1.pdf,extracted_text\03.14.24 - AJ Rep-1.txt,yes,2024-03-14,2024,03,14,,,133,187284,176952,60009,ok
case,CASE DOCS\03.14.24 - AJR-1.pdf,extracted_text\03.14.24 - AJR-1.txt,yes,2024-03-14,2024,03,14,,,1,176,722,151,ok
case,CASE DOCS\03.14.24 - APPEARANCE Charles Dustin Myers-1.pdf,extracted_text\03.14.24 - APPEARANCE Charles Dustin Myers-1.txt,yes,2024-03-14,2024,03,14,,,1,132,126,56,ok
case,CASE DOCS\03.14.24 - ASSOCIATE JUDGE REPORT-1.pdf,extracted_text\03.14.24 - ASSOCIATE JUDGE REPORT-1.txt,yes,2024-03-14,2024,03,14,,report,1,14,813,155,ok
case,CASE DOCS\03.14.24 - Associate Judge's Report-1.pdf,extracted_text\03.14.24 - Associate Judge's Report-1.txt,yes,2024-03-14,2024,03,14,,report,1,36,828,157,ok
